GEOID,NAME,median_home_value
17031260300,Census Tract 2603; Cook County; Illinois,242600.0
17031260400,Census Tract 2604; Cook County; Illinois,161200.0
17031260500,Census Tract 2605; Cook County; Illinois,217500.0
17031260600,Census Tract 2606; Cook County; Illinois,189600.0
17031260700,Census Tract 2607; Cook County; Illinois,242600.0
17031260800,Census Tract 2608; Cook County; Illinois,205300.0
17031260900,Census Tract 2609; Cook County; Illinois,245900.0
17031261000,Census Tract 2610; Cook County; Illinois,175000.0
17031270500,Census Tract 2705; Cook County; Illinois,165500.0
17031271200,Census Tract 2712; Cook County; Illinois,303400.0
17031271300,Census Tract 2713; Cook County; Illinois,414000.0
17031271400,Census Tract 2714; Cook County; Illinois,212500.0
17031271500,Census Tract 2715; Cook County; Illinois,273800.0
17031271800,Census Tract 2718; Cook County; Illinois,237500.0
17031280100,Census Tract 2801; Cook County; Illinois,428900.0
17031280400,Census Tract 2804; Cook County; Illinois,344000.0
17031280800,Census Tract 2808; Cook County; Illinois,370000.0
17031280900,Census Tract 2809; Cook County; Illinois,351100.0
17031281900,Census Tract 2819; Cook County; Illinois,396100.0
17031282700,Census Tract 2827; Cook County; Illinois,319200.0
17031282800,Census Tract 2828; Cook County; Illinois,404800.0
17031283100,Census Tract 2831; Cook County; Illinois,465800.0
17031283200,Census Tract 2832; Cook County; Illinois,441000.0
17031283800,Census Tract 2838; Cook County; Illinois,398300.0
17031290900,Census Tract 2909; Cook County; Illinois,222800.0
17031291200,Census Tract 2912; Cook County; Illinois,243900.0
17031291600,Census Tract 2916; Cook County; Illinois,373900.0
17031292200,Census Tract 2922; Cook County; Illinois,244800.0
17031292400,Census Tract 2924; Cook County; Illinois,255500.0
17031292500,Census Tract 2925; Cook County; Illinois,239600.0
17031300500,Census Tract 3005; Cook County; Illinois,225300.0
17031300600,Census Tract 3006; Cook County; Illinois,281400.0
17031300700,Census Tract 3007; Cook County; Illinois,287300.0
17031300800,Census Tract 3008; Cook County; Illinois,225600.0
17031301100,Census Tract 3011; Cook County; Illinois,219300.0
17031301200,Census Tract 3012; Cook County; Illinois,255400.0
17031301600,Census Tract 3016; Cook County; Illinois,233300.0
17031301701,Census Tract 3017.01; Cook County; Illinois,264100.0
17031301702,Census Tract 3017.02; Cook County; Illinois,255000.0
17031301801,Census Tract 3018.01; Cook County; Illinois,277900.0
17031301802,Census Tract 3018.02; Cook County; Illinois,220600.0
17031301803,Census Tract 3018.03; Cook County; Illinois,193000.0
17031310200,Census Tract 3102; Cook County; Illinois,408100.0
17031310300,Census Tract 3103; Cook County; Illinois,503700.0
17031310400,Census Tract 3104; Cook County; Illinois,378400.0
17031310500,Census Tract 3105; Cook County; Illinois,407500.0
17031310600,Census Tract 3106; Cook County; Illinois,369200.0
17031310700,Census Tract 3107; Cook County; Illinois,423500.0
17031310800,Census Tract 3108; Cook County; Illinois,379700.0
17031310900,Census Tract 3109; Cook County; Illinois,271200.0
17031320101,Census Tract 3201.01; Cook County; Illinois,638900.0
17031320102,Census Tract 3201.02; Cook County; Illinois,379600.0
17031320400,Census Tract 3204; Cook County; Illinois,654700.0
17031320600,Census Tract 3206; Cook County; Illinois,380800.0
17031330101,Census Tract 3301.01; Cook County; Illinois,593500.0
17031330102,Census Tract 3301.02; Cook County; Illinois,390800.0
17031330103,Census Tract 3301.03; Cook County; Illinois,364800.0
17031330200,Census Tract 3302; Cook County; Illinois,603700.0
17031340300,Census Tract 3403; Cook County; Illinois,395000.0
17031340400,Census Tract 3404; Cook County; Illinois,358100.0
17031340500,Census Tract 3405; Cook County; Illinois,460100.0
17031351000,Census Tract 3510; Cook County; Illinois,366900.0
17031351100,Census Tract 3511; Cook County; Illinois,289300.0
17031351400,Census Tract 3514; Cook County; Illinois,511000.0
17031351500,Census Tract 3515; Cook County; Illinois,422900.0
17031360200,Census Tract 3602; Cook County; Illinois,272200.0
17031380100,Census Tract 3801; Cook County; Illinois,323300.0
17031380200,Census Tract 3802; Cook County; Illinois,242600.0
17031380600,Census Tract 3806; Cook County; Illinois,273200.0
17031381200,Census Tract 3812; Cook County; Illinois,405400.0
17031381400,Census Tract 3814; Cook County; Illinois,320400.0
17031381800,Census Tract 3818; Cook County; Illinois,275000.0
17031381900,Census Tract 3819; Cook County; Illinois,411100.0
17031390100,Census Tract 3901; Cook County; Illinois,559800.0
17031390200,Census Tract 3902; Cook County; Illinois,386400.0
17031390300,Census Tract 3903; Cook County; Illinois,358200.0
17031390400,Census Tract 3904; Cook County; Illinois,382600.0
17031390500,Census Tract 3905; Cook County; Illinois,845800.0
17031390600,Census Tract 3906; Cook County; Illinois,546900.0
17031390700,Census Tract 3907; Cook County; Illinois,244800.0
17031400300,Census Tract 4003; Cook County; Illinois,226000.0
17031400400,Census Tract 4004; Cook County; Illinois,171400.0
17031400500,Census Tract 4005; Cook County; Illinois,429500.0
17031410100,Census Tract 4101; Cook County; Illinois,208500.0
17031410200,Census Tract 4102; Cook County; Illinois,292900.0
17031410500,Census Tract 4105; Cook County; Illinois,402600.0
17031410600,Census Tract 4106; Cook County; Illinois,322800.0
17031410700,Census Tract 4107; Cook County; Illinois,439200.0
17031410800,Census Tract 4108; Cook County; Illinois,367900.0
17031410900,Census Tract 4109; Cook County; Illinois,344600.0
17031411000,Census Tract 4110; Cook County; Illinois,184200.0
17031411100,Census Tract 4111; Cook County; Illinois,562500.0
17031411200,Census Tract 4112; Cook County; Illinois,490900.0
17031420100,Census Tract 4201; Cook County; Illinois,281700.0
17031420200,Census Tract 4202; Cook County; Illinois,403100.0
17031420300,Census Tract 4203; Cook County; Illinois,343800.0
17031420400,Census Tract 4204; Cook County; Illinois,260000.0
17031420500,Census Tract 4205; Cook County; Illinois,169200.0
17031420600,Census Tract 4206; Cook County; Illinois,143500.0
17031420800,Census Tract 4208; Cook County; Illinois,243800.0
17031421200,Census Tract 4212; Cook County; Illinois,225000.0
17031430101,Census Tract 4301.01; Cook County; Illinois,110900.0
17031430102,Census Tract 4301.02; Cook County; Illinois,204200.0
17031430200,Census Tract 4302; Cook County; Illinois,383800.0
17031430300,Census Tract 4303; Cook County; Illinois,228700.0
17031430400,Census Tract 4304; Cook County; Illinois,195600.0
17031430500,Census Tract 4305; Cook County; Illinois,261700.0
17031430600,Census Tract 4306; Cook County; Illinois,341200.0
17031430700,Census Tract 4307; Cook County; Illinois,217300.0
17031430800,Census Tract 4308; Cook County; Illinois,247800.0
17031430900,Census Tract 4309; Cook County; Illinois,192400.0
17031431200,Census Tract 4312; Cook County; Illinois,267300.0
17031431301,Census Tract 4313.01; Cook County; Illinois,278200.0
17031431400,Census Tract 4314; Cook County; Illinois,112500.0
17031440102,Census Tract 4401.02; Cook County; Illinois,184500.0
17031440201,Census Tract 4402.01; Cook County; Illinois,249700.0
17031440202,Census Tract 4402.02; Cook County; Illinois,264700.0
17031440300,Census Tract 4403; Cook County; Illinois,236800.0
17031440600,Census Tract 4406; Cook County; Illinois,192300.0
17031440700,Census Tract 4407; Cook County; Illinois,168100.0
17031440800,Census Tract 4408; Cook County; Illinois,141900.0
17031440900,Census Tract 4409; Cook County; Illinois,233000.0
17031450300,Census Tract 4503; Cook County; Illinois,190200.0
17031460100,Census Tract 4601; Cook County; Illinois,147500.0
17031460200,Census Tract 4602; Cook County; Illinois,104900.0
17031460301,Census Tract 4603.01; Cook County; Illinois,154300.0
17031460302,Census Tract 4603.02; Cook County; Illinois,163200.0
17031460400,Census Tract 4604; Cook County; Illinois,240500.0
17031460500,Census Tract 4605; Cook County; Illinois,217700.0
17031460800,Census Tract 4608; Cook County; Illinois,227900.0
17031461000,Census Tract 4610; Cook County; Illinois,78900.0
17031470100,Census Tract 4701; Cook County; Illinois,227400.0
17031480100,Census Tract 4801; Cook County; Illinois,242400.0
17031480200,Census Tract 4802; Cook County; Illinois,153800.0
17031480300,Census Tract 4803; Cook County; Illinois,240600.0
17031480400,Census Tract 4804; Cook County; Illinois,212100.0
17031480500,Census Tract 4805; Cook County; Illinois,210300.0
17031490200,Census Tract 4902; Cook County; Illinois,179200.0
17031490500,Census Tract 4905; Cook County; Illinois,247300.0
17031490600,Census Tract 4906; Cook County; Illinois,163400.0
17031490700,Census Tract 4907; Cook County; Illinois,163800.0
17031490800,Census Tract 4908; Cook County; Illinois,165400.0
17031490901,Census Tract 4909.01; Cook County; Illinois,188100.0
17031490902,Census Tract 4909.02; Cook County; Illinois,183300.0
