"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031190200","Census Tract 1902; Cook County; Illinois","358100","11003",
"1400000US17031190300","Census Tract 1903; Cook County; Illinois","350200","17640",
"1400000US17031190401","Census Tract 1904.01; Cook County; Illinois","394700","32368",
"1400000US17031190402","Census Tract 1904.02; Cook County; Illinois","317600","25670",
"1400000US17031190601","Census Tract 1906.01; Cook County; Illinois","321500","26711",
"1400000US17031190602","Census Tract 1906.02; Cook County; Illinois","296700","32353",
"1400000US17031190701","Census Tract 1907.01; Cook County; Illinois","333000","42771",
"1400000US17031190702","Census Tract 1907.02; Cook County; Illinois","335500","36930",
"1400000US17031190800","Census Tract 1908; Cook County; Illinois","355900","35426",
"1400000US17031190900","Census Tract 1909; Cook County; Illinois","351100","49462",
"1400000US17031191000","Census Tract 1910; Cook County; Illinois","299000","39076",
"1400000US17031191100","Census Tract 1911; Cook County; Illinois","325800","41484",
"1400000US17031191200","Census Tract 1912; Cook County; Illinois","259500","29906",
"1400000US17031191301","Census Tract 1913.01; Cook County; Illinois","297600","30485",
"1400000US17031191302","Census Tract 1913.02; Cook County; Illinois","278900","35608",
"1400000US17031200100","Census Tract 2001; Cook County; Illinois","325100","45970",
"1400000US17031200200","Census Tract 2002; Cook County; Illinois","328900","30535",
"1400000US17031200300","Census Tract 2003; Cook County; Illinois","317600","33886",
"1400000US17031200401","Census Tract 2004.01; Cook County; Illinois","325700","39363",
"1400000US17031200402","Census Tract 2004.02; Cook County; Illinois","295100","28168",
"1400000US17031210100","Census Tract 2101; Cook County; Illinois","465200","44413",
"1400000US17031210400","Census Tract 2104; Cook County; Illinois","361000","40967",
"1400000US17031210501","Census Tract 2105.01; Cook County; Illinois","391600","95843",
"1400000US17031210502","Census Tract 2105.02; Cook County; Illinois","479400","63878",
"1400000US17031210601","Census Tract 2106.01; Cook County; Illinois","489400","71743",
"1400000US17031210602","Census Tract 2106.02; Cook County; Illinois","441100","36409",
"1400000US17031210700","Census Tract 2107; Cook County; Illinois","492600","160374",
"1400000US17031210800","Census Tract 2108; Cook County; Illinois","547100","92468",
"1400000US17031210900","Census Tract 2109; Cook County; Illinois","576800","76254",
"1400000US17031220300","Census Tract 2203; Cook County; Illinois","478100","62496",
"1400000US17031220400","Census Tract 2204; Cook County; Illinois","766100","100784",
"1400000US17031220500","Census Tract 2205; Cook County; Illinois","481000","101863",
"1400000US17031220601","Census Tract 2206.01; Cook County; Illinois","648300","77491",
"1400000US17031220602","Census Tract 2206.02; Cook County; Illinois","623000","132470",
"1400000US17031220701","Census Tract 2207.01; Cook County; Illinois","496700","68814",
